Task,Network,Loss,Accuracy,ROC_AUC,AUC_AVG,AUC_STD,TrainTimeSec,NumSamples,LearningRate,Label0,Label1,Label0Rate,Label1Rate,AllZeroTDA,AllZeroRAW,NonEmptyEither,NonEmptyBoth,StartDateTime,EndDateTime
task2,BEPRO_TFR_a3.00_b1.00,0.6871,0.5179,0.7023,0.7463,0.0024,7.7,1115,0.0001,555,560,0.4978,0.5022,0,0,1115,1115,2025-10-27 21:40,2025-10-27 21:40
task2,BEPRO_TFR_a3.00_b1.00_bin1,0.6838,0.6012,0.6648,0.6828,0.0021,7.49,1115,0.0001,555,560,0.4978,0.5022,0,0,1115,1115,2025-10-27 21:40,2025-10-27 21:40
task2,BEPRO_TFR_a3.00_b1.00_bin2,0.6901,0.631,0.6801,0.6575,0.0187,7.51,1115,0.0001,555,560,0.4978,0.5022,2,4,1113,1109,2025-10-27 21:40,2025-10-27 21:41
task2,BEPRO_TFR_a3.00_b1.00_bin3,0.6916,0.506,0.5507,0.6628,0.0117,7.69,1115,0.0001,555,560,0.4978,0.5022,0,0,1115,1115,2025-10-27 21:41,2025-10-27 21:41
task2,BEPRO_TFR_a3.00_b1.00_bin4,0.689,0.5417,0.6241,0.5692,0.0121,7.63,1115,0.0001,555,560,0.4978,0.5022,2,5,1113,1108,2025-10-27 21:41,2025-10-27 21:41
task2,BEPRO_TFR_a3.00_b1.00_bin5,0.6904,0.5714,0.5975,0.5894,0.0056,7.84,1115,0.0001,555,560,0.4978,0.5022,0,0,1115,1115,2025-10-27 21:41,2025-10-27 21:41
task2,BEPRO_TFR_a3.00_b1.00_bin6,0.6919,0.5298,0.4705,0.4987,0.0186,8.16,1115,0.0001,555,560,0.4978,0.5022,35,48,1080,1032,2025-10-27 21:41,2025-10-27 21:41
task2,BEPRO_TFR_a3.00_b1.00_bin7,0.6914,0.5417,0.5326,0.537,0.0252,7.93,1115,0.0001,555,560,0.4978,0.5022,134,168,981,813,2025-10-27 21:41,2025-10-27 21:41
task2,BEPRO_TFR_a3.00_b1.00_bin8,0.6935,0.5119,0.5062,0.5752,0.0061,7.78,1115,0.0001,555,560,0.4978,0.5022,172,213,943,730,2025-10-27 21:41,2025-10-27 21:41
task2,BEPRO_TFR_a3.00_b1.00_bin9,0.6945,0.494,0.491,0.5595,0.0024,7.46,1115,0.0001,555,560,0.4978,0.5022,382,427,733,306,2025-10-27 21:41,2025-10-27 21:41
task2,BEPRO_TFR_a3.00_b1.00_bin10,0.6875,0.5595,0.5971,0.3675,0.0017,7.45,1115,0.0001,555,560,0.4978,0.5022,468,503,647,144,2025-10-27 21:41,2025-10-27 21:42
task3,BEPRO_TFR_a3.00_b1.00,0.6938,0.506,0.4876,0.5166,0.0071,7.97,1115,0.0001,597,518,0.5354,0.4646,0,0,1115,1115,2025-10-27 21:42,2025-10-27 21:42
task3,BEPRO_TFR_a3.00_b1.00_bin1,0.6948,0.506,0.449,0.5399,0.0076,7.45,1115,0.0001,597,518,0.5354,0.4646,0,0,1115,1115,2025-10-27 21:42,2025-10-27 21:42
task3,BEPRO_TFR_a3.00_b1.00_bin2,0.6935,0.506,0.6143,0.5613,0.0355,7.52,1115,0.0001,597,518,0.5354,0.4646,2,4,1113,1109,2025-10-27 21:42,2025-10-27 21:42
task3,BEPRO_TFR_a3.00_b1.00_bin3,0.6937,0.506,0.4804,0.4964,0.016,8.67,1115,0.0001,597,518,0.5354,0.4646,0,0,1115,1115,2025-10-27 21:42,2025-10-27 21:42
task3,BEPRO_TFR_a3.00_b1.00_bin4,0.6933,0.506,0.5243,0.5378,0.0147,8,1115,0.0001,597,518,0.5354,0.4646,2,5,1113,1108,2025-10-27 21:42,2025-10-27 21:42
task3,BEPRO_TFR_a3.00_b1.00_bin5,0.6936,0.506,0.4448,0.5435,0.0128,7.52,1115,0.0001,597,518,0.5354,0.4646,0,0,1115,1115,2025-10-27 21:42,2025-10-27 21:42
task3,BEPRO_TFR_a3.00_b1.00_bin6,0.6937,0.506,0.5009,0.6579,0.0141,7.53,1115,0.0001,597,518,0.5354,0.4646,35,48,1080,1032,2025-10-27 21:42,2025-10-27 21:43
task3,BEPRO_TFR_a3.00_b1.00_bin7,0.6932,0.506,0.5071,0.5306,0.013,7.54,1115,0.0001,597,518,0.5354,0.4646,134,168,981,813,2025-10-27 21:43,2025-10-27 21:43
task3,BEPRO_TFR_a3.00_b1.00_bin8,0.6937,0.506,0.5179,0.6158,0.0027,8.1,1115,0.0001,597,518,0.5354,0.4646,172,213,943,730,2025-10-27 21:43,2025-10-27 21:43
task3,BEPRO_TFR_a3.00_b1.00_bin9,0.6934,0.506,0.541,0.5263,0.0248,7.56,1115,0.0001,597,518,0.5354,0.4646,382,427,733,306,2025-10-27 21:43,2025-10-27 21:43
task3,BEPRO_TFR_a3.00_b1.00_bin10,0.6935,0.506,0.47,0.48,0.0173,7.54,1115,0.0001,597,518,0.5354,0.4646,468,503,647,144,2025-10-27 21:43,2025-10-27 21:43
task1,BEPRO_TFR_a3.00_b1.00,0.691,0.494,0.7646,0.7572,0.0114,7.57,1115,0.0001,611,504,0.548,0.452,0,0,1115,1115,2025-10-27 21:43,2025-10-27 21:43
task1,BEPRO_TFR_a3.00_b1.00_bin1,0.68,0.494,0.7062,0.7094,0.0076,7.53,1115,0.0001,611,504,0.548,0.452,0,0,1115,1115,2025-10-27 21:43,2025-10-27 21:43
task1,BEPRO_TFR_a3.00_b1.00_bin2,0.6952,0.494,0.7844,0.7455,0.1295,8.19,1115,0.0001,611,504,0.548,0.452,2,4,1113,1109,2025-10-27 21:43,2025-10-27 21:44
task1,BEPRO_TFR_a3.00_b1.00_bin3,0.6969,0.494,0.544,0.7354,0.0039,7.58,1115,0.0001,611,504,0.548,0.452,0,0,1115,1115,2025-10-27 21:44,2025-10-27 21:44
task1,BEPRO_TFR_a3.00_b1.00_bin4,0.6881,0.494,0.7391,0.5902,0.0056,7.57,1115,0.0001,611,504,0.548,0.452,2,5,1113,1108,2025-10-27 21:44,2025-10-27 21:44
task1,BEPRO_TFR_a3.00_b1.00_bin5,0.695,0.494,0.5997,0.7183,0.0098,7.77,1115,0.0001,611,504,0.548,0.452,0,0,1115,1115,2025-10-27 21:44,2025-10-27 21:44
task1,BEPRO_TFR_a3.00_b1.00_bin6,0.6931,0.494,0.5809,0.4985,0.0046,7.66,1115,0.0001,611,504,0.548,0.452,35,48,1080,1032,2025-10-27 21:44,2025-10-27 21:44
