from,to,timestamp,value,Temporal Ricci value,bin_edge,bin_pair
0x1349c51f9e4b3b669f6d9d02d8df1ed614535f2f,0xd152f549545093347a162dce210e7293f1452150,1627992196,0.09090909090909091,-44850.30752397391,4,3
0x1349c51f9e4b3b669f6d9d02d8df1ed614535f2f,0xd152f549545093347a162dce210e7293f1452150,1635776935,0.2676588534764671,-88638.04583658281,4,3
0x1349c51f9e4b3b669f6d9d02d8df1ed614535f2f,0xd152f549545093347a162dce210e7293f1452150,1670348387,0.26148163539076014,-100835.91583357993,4,3
0x64766f7fb8ccc99c5fdba54e2e968d1d244b83be,0xe9e3779fc50606e640f0fb84e41eb61e2201166e,1665594335,0.9885009325324935,-25565.423048428467,4,3
0xd152f549545093347a162dce210e7293f1452150,0xabf6020a4881c5ba7d529fd976865d47f7812e54,1627992196,0.8499624793670276,-66756.39595612595,4,3
0xd152f549545093347a162dce210e7293f1452150,0x51baa6e87b736b7aa3080efc42ff305669dc760b,1627992196,0.8252002786016227,-93152.20052157297,4,2
0xd152f549545093347a162dce210e7293f1452150,0xcf280df3da6405eabf27e1d85e2c03d3b9047309,1627992196,0.9188969926112727,-107465.65262984522,4,2
0xd152f549545093347a162dce210e7293f1452150,0x4a5bb1c9347a0d4f7e06a29239162f03647d9232,1635776935,0.949706617745735,-103717.47520401503,4,3
0xd152f549545093347a162dce210e7293f1452150,0xc3c14f31c8db2417d1695fa6c8bebe8f2804677e,1635776935,0.7906489735274929,-83765.15134885811,4,2
0xd152f549545093347a162dce210e7293f1452150,0xdb831eeaccaefc5d8806aecce1239f80fc54ea2d,1627992196,0.36163419603045627,-79661.16540011264,4,2
0xd152f549545093347a162dce210e7293f1452150,0xdb831eeaccaefc5d8806aecce1239f80fc54ea2d,1635776935,0.5311767243870944,-89465.8342602561,4,2
0xd152f549545093347a162dce210e7293f1452150,0x3e4bf64db6feac51cf962c01e7e247d2d0a94d72,1635776935,0.9418121314889553,-98161.25979757134,4,3
0xd152f549545093347a162dce210e7293f1452150,0x181348d19d4c5eddb9383c34bdc7eafaca6d127d,1627992196,0.9912510928478646,-94920.61260287039,4,2
0xd152f549545093347a162dce210e7293f1452150,0x181348d19d4c5eddb9383c34bdc7eafaca6d127d,1635776935,0.9956063265031921,-104946.9553899512,4,2
0xd152f549545093347a162dce210e7293f1452150,0x39bf5f80938b542818f45d2a824fb32103c81a15,1635776935,0.9982378853073027,-94781.04239456945,4,2
0xd152f549545093347a162dce210e7293f1452150,0xd999074f947f9813bdd161fb2452332ac6a4d695,1627992196,0.9742046409462287,-106969.65444247003,4,2
0xd152f549545093347a162dce210e7293f1452150,0x0c3e73447fb3a76ab0ae69c4d1097eed21067e33,1635776935,0.9973591546971086,-88399.43848099955,4,2
0xd152f549545093347a162dce210e7293f1452150,0xbd8c56382cf542d9e0087f6a37c565918ee47e1f,1635776935,0.9947322207842161,-107290.46119080028,4,2
0xd152f549545093347a162dce210e7293f1452150,0xf2b96f9c0f597c5926ab87af9511aea8cd078c43,1635776935,0.9964819697873324,-104606.94840896233,4,2
0xd152f549545093347a162dce210e7293f1452150,0x57c191389cb4cf776830564e35d2ce3c5b744531,1635776935,0.9964819697873324,-95647.07306097492,4,2
0xd152f549545093347a162dce210e7293f1452150,0x68882cc879f215d0fc862d0e304d6f27676fd327,1635776935,0.9809523793032363,-102059.2289828878,4,2
0xd152f549545093347a162dce210e7293f1452150,0xca63cd425d0e78ffe05a84c330bfee691242113d,1635776935,0.9877942447946159,-85903.58192941638,4,2
0xd152f549545093347a162dce210e7293f1452150,0x3c8972ba9d1ba82acf390ab6e7fcc29dd3a7c53e,1635776935,0.9877942447946159,-95807.98853284618,4,2
0xd152f549545093347a162dce210e7293f1452150,0x13f6d532045eae4ac1ad91a1eba96e075039041b,1627992196,0.9758828575265166,-86306.4780952051,4,3
0xd152f549545093347a162dce210e7293f1452150,0x8e044b15ea6bd5b4d6b1aa7196eec81bcb33dfd8,1627993882,0.9991685143768533,-100708.12816330019,4,2
0xd152f549545093347a162dce210e7293f1452150,0x8db668ff36b89d32cbbb9967d1aca6fa6d383ce0,1627993882,0.9996672396865962,-94527.6888212541,4,3
0xd152f549545093347a162dce210e7293f1452150,0xe24b6b471b0c1be43a0e0da2573152a4a6d5943a,1628880385,0.9998235086325017,-90891.46080801844,4,3
0xd152f549545093347a162dce210e7293f1452150,0xfc09f2c2d4c92f1cbc2c8ee7fef71e63b7683eaa,1628880385,0.9998235086325017,-105264.42299686508,4,3
0xd152f549545093347a162dce210e7293f1452150,0xeaaf36b7bec817f70cce17e608f9bd9831518289,1628880385,0.9998235086325017,-84479.7102836475,4,3
0xd152f549545093347a162dce210e7293f1452150,0x548866bf813f13d3ae5859526a574153669313a9,1628880385,0.9998235086325017,-90314.6224923487,4,3
0xd152f549545093347a162dce210e7293f1452150,0xc7c34a8b21e99f4fae0db453f6daa69b9cdb6a82,1628880385,0.9998235086325017,-101430.65559269834,4,3
0xd152f549545093347a162dce210e7293f1452150,0x2deb2995a5010a63a231c9dfecbeba40913e90c4,1628880385,0.9998235086325017,-103547.61909599355,4,3
0xd152f549545093347a162dce210e7293f1452150,0x60e33f77532d6b290123082ee2ac90a321a820e3,1628880385,0.9998235086325017,-95603.89580662787,4,3
0xd152f549545093347a162dce210e7293f1452150,0x58db7c8f8f621f12a2a84b65b95173bc8bf99202,1628880385,0.9998235086325017,-102829.29593529722,4,3
0xd152f549545093347a162dce210e7293f1452150,0x9b511bd3c544058b167b290df29bb3cf00c9dc8f,1628880385,0.9998235086325017,-96492.99123363297,4,3
0xd152f549545093347a162dce210e7293f1452150,0xc1281fc6f3804d6954c841e77f46f6c8aedeb6eb,1628880385,0.9998235086325017,-107289.12080889607,4,3
0xd152f549545093347a162dce210e7293f1452150,0x80b38ab087bf05a54984b0d4af673d28bdc33fed,1628880385,0.9998235086325017,-98924.31764227955,4,3
0xd152f549545093347a162dce210e7293f1452150,0xf1b51050e07d7760c2210843a69d57741ecdd5ce,1628880385,0.9998235086325017,-93984.24339493048,4,3
0xd152f549545093347a162dce210e7293f1452150,0xc5b461a7376387012cca67bfb85ecfb343e8e6a9,1628880385,0.9998235086325017,-83544.89590798269,4,3
0xd152f549545093347a162dce210e7293f1452150,0xc14fe4fa20316dff93811b3097dc4a4def04cd0c,1628880385,0.9998235086325017,-98625.3090166026,4,3
0xd152f549545093347a162dce210e7293f1452150,0x1743af16542b4672aab774bf9afcd64918db18f0,1628880385,0.9998235086325017,-105604.74460280474,4,3
0xd152f549545093347a162dce210e7293f1452150,0x8795663d1a814a810a39c2718377313a1c8f57ac,1628880385,0.9998235086325017,-102300.93560722524,4,3
0xd152f549545093347a162dce210e7293f1452150,0xeda6991d05cc8dc0259611980511b3c69477b614,1628880385,0.9998235086325017,-87238.93417924814,4,3
0xd152f549545093347a162dce210e7293f1452150,0xaa3db26ef39ec51e20a151f4ab5376f7c0c08fd1,1628880385,0.9998235086325017,-104607.60642599242,4,3
0xd152f549545093347a162dce210e7293f1452150,0xf64921fa72eb558583819cdc0898028f686b647f,1628880385,0.9998235086325017,-100844.00544945667,4,3
0xd152f549545093347a162dce210e7293f1452150,0xd0868a64e5c36c5790128d95684662d6227c2c5f,1628880385,0.9998235086325017,-107677.62362969918,4,3
0xd152f549545093347a162dce210e7293f1452150,0xc92ddf54d4a293d8557c4ba9b08fd257d7122313,1628880385,0.9998235086325017,-104804.03064385297,4,3
0xd152f549545093347a162dce210e7293f1452150,0xc0e773e71f4467b2bdba13bba5a528a636ade783,1628880385,0.9998235086325017,-87677.17850571638,4,3
0xd152f549545093347a162dce210e7293f1452150,0x372822e785a6e445c5fb00d1015134ce73a0899a,1628880385,0.9998235086325017,-99433.42641620457,4,3
0xd152f549545093347a162dce210e7293f1452150,0xc94c50149bf027f002cf1ad18642a0f13eb4274f,1628880385,0.9998235086325017,-94108.38425618461,4,3
0xd152f549545093347a162dce210e7293f1452150,0x6ffbca4259dfcec4b72bed5008704468208e7635,1628880385,0.9998235086325017,-82155.96631364145,4,3
0xd152f549545093347a162dce210e7293f1452150,0x815ce0f075569c9961d1060dec3bee9e6d1d9b61,1628880385,0.9998235086325017,-97046.26829373717,4,3
0xd152f549545093347a162dce210e7293f1452150,0x2a58a83589ac03df098efab4218a6ddfe878a633,1628880385,0.9998235086325017,-105946.22772382005,4,3
0xd152f549545093347a162dce210e7293f1452150,0xb6d7759c923cb9bfd190e1cb83f8600a839d6a34,1628880675,0.9996470795524157,-103604.29692784735,4,3
